accesses,time
0,0.000301838
10000,0.0031426
20000,0.00621128
30000,0.0089798
40000,0.0140564
50000,0.0170083
60000,0.0151701
70000,0.0195811
80000,0.0452931
90000,0.0349274
100000,0.0298133
110000,0.0357635
120000,0.0428791
130000,0.0512319
140000,0.0391476
150000,0.0403094
160000,0.0503652
170000,0.0588388
180000,0.0584166
190000,0.0591979
200000,0.0569379
210000,0.0657754
220000,0.0590236
230000,0.0860524
240000,0.0751925
250000,0.07658
260000,0.088146
270000,0.08764
280000,0.175269
290000,0.158138
300000,0.14098
310000,0.170196
320000,0.165983
330000,0.129565
340000,0.101858
350000,0.141875
360000,0.242157
370000,0.196777
380000,0.154554
390000,0.113511
400000,0.115487
410000,0.11698
420000,0.172745
430000,0.177979
440000,0.112203
450000,0.121842
460000,0.131259
470000,0.117844
480000,0.120023
490000,0.1495
500000,0.125911
510000,0.137912
520000,0.124468
530000,0.121048
540000,0.186383
550000,0.127748
560000,0.130483
570000,0.154785
580000,0.140446
590000,0.141894
600000,0.13764
610000,0.132377
620000,0.140922
630000,0.133818
640000,0.137545
650000,0.152975
660000,0.149867
670000,0.160776
680000,0.170204
690000,0.160401
700000,0.158158
710000,0.213838
720000,0.154871
730000,0.174402
740000,0.176669
750000,0.156187
760000,0.165955
770000,0.164717
780000,0.173728
790000,0.173726
800000,0.241596
810000,0.190609
820000,0.213679
830000,0.218782
840000,0.231422
850000,0.222617
860000,0.201685
870000,0.203813
880000,0.243812
890000,0.230309
900000,0.334421
910000,0.272924
920000,0.247481
930000,0.243376
940000,0.220624
950000,0.295797
960000,0.275622
970000,0.250267
980000,0.220659
990000,0.256906
1000000,0.253882
