accesses,time
0,0.00015974
10000,0.012933
20000,0.03139
30000,0.0553951
40000,0.0524292
50000,0.0670509
60000,0.0783551
70000,0.0902755
80000,0.100354
90000,0.127707
100000,0.158349
110000,0.16146
120000,0.225269
130000,0.212713
140000,0.192503
150000,0.196359
160000,0.213245
170000,0.344269
180000,0.261114
190000,0.280556
200000,0.26852
210000,0.29392
220000,0.277728
230000,0.275814
240000,0.291975
250000,0.296589
260000,0.307813
270000,0.354804
280000,0.429274
290000,0.452992
300000,0.360288
310000,0.352243
320000,0.352894
330000,0.374018
340000,0.395802
350000,0.400533
360000,0.39805
370000,0.406961
380000,0.4287
390000,0.436604
400000,0.454958
410000,0.454597
420000,0.469725
430000,0.542306
440000,0.494324
450000,0.529939
460000,0.505849
470000,0.521123
480000,0.532978
490000,0.551494
500000,0.552297
510000,0.568234
520000,0.572523
530000,0.597815
540000,0.614327
550000,0.61438
560000,0.740917
570000,0.846966
580000,0.811669
590000,0.734375
600000,0.788105
610000,0.740674
620000,0.792389
630000,0.716818
640000,0.791024
650000,0.778679
660000,0.833461
670000,1.0568
680000,0.839438
690000,0.782661
700000,0.804851
710000,1.05109
720000,1.20948
730000,1.05071
740000,0.980771
750000,1.04731
760000,0.953417
770000,0.88993
780000,0.927691
790000,0.91937
800000,0.904355
810000,1.08973
820000,0.942894
830000,1.03985
840000,0.954934
850000,0.99496
860000,0.966366
870000,1.01609
880000,1.03488
890000,1.04599
900000,1.00991
910000,0.991554
920000,1.1193
930000,1.08399
940000,1.04037
950000,1.12138
960000,1.07719
970000,1.13469
980000,1.15875
990000,1.13668
1000000,1.15715
