accesses,time
0,0.000206232
10000,0.0179927
20000,0.0197763
30000,0.0427146
40000,0.037436
50000,0.0561137
60000,0.0614433
70000,0.0735016
80000,0.071032
90000,0.0967577
100000,0.102631
110000,0.0985703
120000,0.136843
130000,0.102587
140000,0.205316
150000,0.173186
160000,0.158513
170000,0.140529
180000,0.156725
190000,0.185093
200000,0.195256
210000,0.318539
220000,0.307203
230000,0.345424
240000,0.214943
250000,0.242712
260000,0.268297
270000,0.297312
280000,0.266269
290000,0.334252
300000,0.332037
310000,0.293561
320000,0.361899
330000,0.434062
340000,0.330457
350000,0.372521
360000,0.303184
370000,0.305532
380000,0.286767
390000,0.296257
400000,0.447178
410000,0.440964
420000,0.505732
430000,0.426142
440000,0.393705
450000,0.402081
460000,0.395822
470000,0.590605
480000,0.4249
490000,0.406723
500000,0.429477
510000,0.377847
520000,0.41083
530000,0.40702
540000,0.424036
550000,0.445869
560000,0.488089
570000,0.423066
580000,0.446841
590000,0.451053
600000,0.440771
610000,0.4511
620000,0.46737
630000,0.494948
640000,0.476597
650000,0.563863
660000,0.520178
670000,0.507042
680000,0.484119
690000,0.519456
700000,0.545074
710000,0.552423
720000,0.549856
730000,0.537068
740000,0.653124
750000,0.622384
760000,0.642371
770000,0.619728
780000,0.56917
790000,0.579922
800000,0.661689
810000,0.621154
820000,0.716751
830000,0.854635
840000,0.689942
850000,0.705729
860000,0.730735
870000,0.774062
880000,0.803348
890000,0.769932
900000,0.752304
910000,0.742778
920000,0.781168
930000,0.79314
940000,0.826943
950000,0.844399
960000,0.832682
970000,0.803978
980000,0.831487
990000,0.789585
1000000,0.863032
